lon2,lat2
99.960575,13.372675
99.99934,13.404463
99.141658,14.378625
99.082247,13.892303
98.524143,14.715145
99.886503,14.309355
99.95149,13.436898
99.964223,13.42957
99.945033,13.430042
99.829288,13.328088
99.164227,14.106802
99.958718,14.546817
99.47391,15.050663
99.838077,13.341092
99.97214,13.520148
99.147925,14.114797
99.811467,14.182302
99.889157,14.379425
99.501472,14.05311
99.972098,13.520298
99.968167,13.522378
99.624095,13.95243
99.924827,13.114657
99.152607,14.112587
99.962557,13.521437
99.85326,13.851258
99.710243,13.95144
99.680327,13.973138
99.846427,13.849727
99.851267,13.874703
99.830947,13.861448
99.692673,13.954977
99.713325,13.946958
99.94301,13.792303
99.999,13.403673
99.530932,14.016205
99.14091,14.378857
99.960143,13.4287
99.558872,14.01217
99.94121,13.807703
99.87629,14.28052
99.83856,13.341143
99.83486,13.340893
99.83616,13.340976
99.965523,13.436374
99.164803,14.10657
99.500145,14.041997
99.962402,13.456437
99.245674,14.048792
99.5056,14.0593
99.998946,13.408456
99.839218,13.341338
99.965925,13.521046
99.972115,13.764445
99.941423,13.451253
99.811363,13.528433
99.972611,13.51251
99.13162,14.426533
99.063711,14.231258
99.94362,13.111156
98.395116,14.68139
99.47623,14.078558
99.065441,14.233045
99.063218,14.222226
99.825976,13.310663
99.999288,13.412995
99.420383,13.780016
99.97033,15.786361
99.999218,15.755718
99.820586,13.282463
99.963416,13.426813
99.941,13.444898
99.95349,13.525721
99.535295,14.013136
99.919483,13.046286
99.629628,13.980776
99.97241,13.518675
99.408333,14.098351
99.886615,13.81711
99.88923,13.832373
99.82397,13.23216
99.946696,15.81153
99.655041,13.871625
99.918508,13.01521
99.443308,14.055915
98.676015,14.64274
99.166306,14.358923
99.858691,13.82244
99.972675,13.511325
98.830576,14.492083
99.541786,14.018201
99.282955,14.089755
98.71694,14.625978
99.824123,13.24163
99.793668,13.526508
99.99085,13.12317
99.80885,13.54175
99.54302,14.00715
99.6986,13.97002
99.76037,13.94242
99.94505,13.0609
99.959018,13.519363
99.926821,13.028393
99.958411,13.51869
99.932835,13.107279
99.53412,14.098567
99.82879,13.339298
99.061753,14.205781
99.950219,13.089092
99.891849,14.405841
99.691737,14.838526
99.825186,13.306086
99.95912,13.519101
99.962817,13.521517
99.972231,13.514546
99.999388,13.408875
99.827798,13.320372
99.931061,13.35641
99.908056,13.116549
99.94158,13.053479
99.942126,13.08863
99.910262,13.117072
99.974573,13.390966
99.952137,13.518031
99.877911,13.376543
99.999509,13.409009
99.852673,15.949974
99.811332,13.651591
99.979527,15.776117
99.062669,14.233867
99.828603,13.32468
98.394085,15.304289
99.647712,15.436122
99.799518,13.457959
99.936739,13.105543
99.805491,16.000216
99.829025,13.322832
99.908021,13.116811
99.959465,13.041266
99.94667,13.42426
99.825107,13.24377
99.99812,13.874736
99.933584,13.128391
99.956904,13.427972
99.895065,14.137153
99.959787,13.520629
99.893425,13.384003
99.958536,13.424451
99.999166,13.409022
99.840266,13.341962
99.9535,13.425279
99.827616,13.319361
99.932685,13.801316
98.745174,14.57679
99.948132,15.810008
99.952568,13.433306
99.91154,13.116859
99.958758,13.518867
99.963727,13.52364
99.809495,15.991175
99.972619,15.936773
99.965913,14.245769
99.513365,14.039249
99.824362,14.947596
99.865692,13.131134
99.826302,13.267353
99.893736,13.660641
99.82967,13.327369
99.825913,13.310276
99.99777,15.928443
99.82867,15.973702
99.496398,14.059125
99.974869,14.163019
99.819142,14.494607
99.836507,15.391668
99.503994,14.647104
99.863578,15.572504
99.972712,13.509503
99.839829,14.250991
99.700611,15.609777
99.825511,13.30505
99.937986,14.180977
99.429016,14.056319
99.644926,15.128666
99.93777,13.098056
99.927715,13.769902
99.064447,14.232289
99.784668,15.753321
99.818771,14.252947
99.27999,14.089529
99.340744,13.542732
99.804767,15.999348
99.657244,14.814529
99.894481,14.37777
99.943983,13.359938
99.978393,14.565207
99.678792,15.459259
99.975579,15.309465
99.926188,13.027836
99.82576,13.520653
99.967276,13.081983
99.49797,13.983079
99.999009,13.40889
99.951345,13.365954
99.790373,15.426217
99.904783,14.376892
99.800364,13.542616
99.869118,14.350043
99.972288,13.512237
99.884869,15.368948
99.924586,15.439406
99.78473,15.753832
99.89926,15.324063
99.791068,15.423408
99.791133,15.755882
99.92516,13.184315
99.789836,15.752072
99.561559,15.641487
99.687639,15.787167
99.932591,13.107938
99.646922,15.236763
99.250692,14.037158
99.927938,13.030438
99.82543,13.305061
99.82983,13.57033
99.96865,13.3789
99.95985,13.5207
99.94663,13.06518
99.96165,13.7976
99.86685,13.34517
99.92718,13.11453
99.24055,14.0191
99.82575,13.28973
99.82087,13.26958
99.9713,13.52223
99.98758,13.67038
99.53003,14.01833
99.510321,14.042898
99.958685,13.784177
99.647552,13.570751
99.550682,14.005407
99.82603,13.304995
99.96158,13.520889
99.14166,14.378462
99.943372,14.977218
99.14509,14.110847
99.966188,14.96299
99.839963,13.341998
99.931398,13.39344
99.717092,13.608342
99.856553,13.063647
99.824647,13.246023
99.825193,13.306162
99.160828,14.127337
99.979902,13.395257
99.690915,13.420013
99.769478,13.33567
99.857495,13.697752
99.977923,13.419002
99.655355,15.414487
99.882958,14.39174
99.825762,13.267712
99.906087,13.388073
99.940882,13.460003
99.89165,13.815913
99.14396,14.375526
98.362096,15.16522
99.953485,13.425433
99.169526,14.099925
